fs_sim,nr_sim,rc_sim,rl_sim
0.14405361503575786,0.6,13.0,28.0
0.36459277051942274,0.4,14.0,33.0
0.26734685680184667,1.0,0.0,21.0
0.29528142778850675,1.0,4.0,19.0
0.23623715335416462,0.8,13.0,24.0
0.15088153316882302,0.6,14.0,26.0
0.1434122014988568,0.6,13.0,27.0
0.14723446196660483,0.6,12.0,22.0
0.11773958650624428,0.6,12.0,30.0
0.21673256802721086,0.8,14.0,28.0
0.26151807705840957,0.6,24.0,45.0
0.07848224870861209,1.0,4.0,6.0
0.37052991651205935,0.4,17.0,37.0
0.35770435891748,0.4,17.0,37.0
0.4233698722777701,0.4,15.0,33.0
0.3108099489795918,0.4,15.0,33.0
0.3036670918367347,0.8,8.0,24.0
0.17582921394698958,0.8,10.0,14.0
0.20173256802721085,0.8,5.0,21.0
0.3327295918367347,0.6,11.0,26.0
0.3084560528756958,0.4,15.0,33.0
0.3802501249015927,0.6,14.0,31.0
0.7374333256029684,0.4,16.0,32.0
0.7479393290335001,0.4,18.0,34.0
0.3151121309474798,0.4,15.0,31.0
0.02805313935919196,1.0,2.0,4.0
0.10297173304805796,0.8,5.0,18.0
0.06013110003415595,1.0,4.0,8.0
0.30947066326530615,0.6,10.0,24.0
0.16822204397222806,0.8,7.0,16.0
0.7058849652874848,0.4,16.0,28.0
0.14388524806474312,0.4,13.0,25.0
0.6532506920929806,0.4,16.0,32.0
0.3181660257386537,0.6,12.0,25.0
0.28652423469387756,0.4,13.0,31.0
0.2648448453809005,0.4,11.0,28.0
0.1877262575154543,0.6,6.0,19.0
0.38468512404961985,0.6,10.0,28.0
0.3063482816146986,0.6,13.0,30.0
0.15676760308846333,0.4,12.0,22.0
0.43201152282947075,0.4,12.0,27.0
0.20648599629725306,0.6,8.0,21.0
0.2773782291842357,0.6,13.0,30.0
0.2783923665620094,0.6,13.0,30.0
0.021524890820525777,0.6,11.0,23.0
0.1237851494547923,0.6,6.0,22.0
0.24242805674901535,0.8,12.0,31.0
0.3151121309474798,0.6,12.0,24.0
0.2722072948031672,0.4,15.0,33.0
0.29681325203491804,0.4,15.0,33.0
0.3605997194584205,1.0,2.0,20.0
0.022335983148446092,0.6,11.0,23.0
0.17423649884482095,0.6,8.0,26.0
0.13456771295474712,0.6,10.0,28.0
0.20333939426834557,0.6,8.0,19.0
0.2697929327548194,0.6,8.0,22.0
0.16878640283547042,0.8,9.0,20.0
0.22274460715437416,0.6,12.0,23.0
0.3985678314241228,0.4,13.0,31.0
0.15594424498194337,0.8,5.0,22.0
0.13232897325596904,0.6,14.0,20.0
0.227970938969412,0.6,13.0,30.0
0.2801449243490499,0.4,15.0,34.0
0.24151104208174035,0.6,8.0,20.0
0.17929106663542244,0.8,7.0,18.0
0.14995650456835452,0.8,5.0,24.0
0.38360630156317843,0.6,6.0,24.0
0.3654591459364811,1.0,8.0,18.0
0.3127049927113702,0.6,8.0,21.0
0.18998724489795915,0.8,11.0,23.0
0.3336407991110555,0.6,8.0,24.0
0.3141712935174069,0.8,8.0,22.0
0.35280747937472856,0.8,5.0,24.0
0.30852377625866967,0.8,11.0,27.0
0.3255183175341142,0.6,12.0,29.0
0.2910865689113842,1.0,4.0,15.0
0.20323719765684045,0.8,9.0,25.0
0.2581065759637188,0.6,13.0,20.0
0.25011219765684045,0.8,9.0,21.0
0.08685345280087342,0.8,10.0,23.0
0.3191868709336596,0.8,7.0,24.0
0.6179356357927787,1.0,4.0,21.0
0.46534445941297864,0.6,14.0,25.0
0.4796167202430105,0.6,12.0,25.0
0.2508704990616937,0.8,12.0,23.0
0.4551400539029171,0.6,9.0,27.0
0.2572433207153829,0.4,15.0,32.0
0.2604803865263383,0.4,15.0,32.0
0.3062117346938775,0.8,11.0,19.0
0.2562086406344716,0.4,13.0,26.0
0.13457950328891888,1.0,0.0,16.0
0.13975775979848004,1.0,0.0,16.0
0.23825550084374836,0.4,22.0,43.0
0.541781151689925,0.4,22.0,43.0
0.7553205309901738,0.4,22.0,43.0
0.5498303941141673,0.6,12.0,31.0
0.15092764378478662,1.0,4.0,16.0
0.1352047902494331,0.6,17.0,28.0
0.3317651985492992,0.6,8.0,20.0
0.15193549010513296,0.6,8.0,15.0
0.2674919766293614,0.6,13.0,27.0
0.26398746998799516,0.6,14.0,23.0
0.13888690285531247,0.6,17.0,28.0
0.17119103076013015,0.8,7.0,17.0
0.3639155390417036,0.6,13.0,26.0
0.17359886934940988,0.8,5.0,20.0
0.136888260389809,0.8,5.0,20.0
0.1444708466035285,0.6,11.0,28.0
0.09715448679471789,0.8,7.0,27.0
0.3840242346938776,0.4,14.0,29.0
0.3023507929594602,1.0,4.0,23.0
0.3278739687364307,0.6,6.0,24.0
0.10492186843873352,1.0,6.0,22.0
0.07768760738381592,0.6,7.0,16.0
0.08049078033703105,0.6,7.0,16.0
0.11896253941490753,0.8,11.0,21.0
0.10738185228078961,0.8,5.0,14.0
0.3153885639621702,0.8,11.0,20.0
0.20328212806861878,0.8,7.0,14.0
0.31644090136054426,0.6,6.0,24.0
0.1882606013716962,1.0,2.0,15.0
0.17364871494335782,0.8,9.0,17.0
0.7896866278562706,0.4,18.0,33.0
0.7969479635074368,0.4,18.0,38.0
0.21683673469387754,0.4,16.0,35.0
0.22651415404871622,0.8,12.0,24.0
0.1660894520851819,0.8,8.0,26.0
0.2045811067317922,0.8,11.0,23.0
0.12024582560296843,0.8,13.0,29.0
0.46942447128693743,0.8,13.0,30.0
0.19339923469387754,0.8,7.0,21.0
0.376261206989392,0.8,10.0,31.0
0.28249497937472856,0.8,11.0,22.0
0.16751931750961252,1.0,6.0,16.0
0.6724501606198034,0.8,7.0,24.0
0.3080357142857143,1.0,0.0,19.0
0.3018914663322956,0.4,17.0,37.0
0.20596479413443702,0.6,16.0,29.0
0.34774374688899945,0.4,14.0,28.0
0.41734950559171036,0.4,15.0,34.0
0.4790955771376074,0.4,15.0,34.0
0.1332157863145258,0.8,3.0,19.0
0.45131875524182274,0.8,3.0,17.0
0.358733537019459,1.0,0.0,16.0
0.11420963825781882,0.8,11.0,22.0
0.8831096005475361,0.4,16.0,29.0
0.17443896787253188,0.6,13.0,28.0
0.41652423469387756,0.6,14.0,27.0
0.4826499877059257,0.4,15.0,34.0
0.3302742346938775,0.8,12.0,26.0
0.0806377003591136,0.6,6.0,21.0
0.3656843396807542,1.0,10.0,23.0
0.526027116538258,1.0,4.0,14.0
0.5425638386542736,0.6,10.0,26.0
0.626740062032007,0.6,10.0,25.0
0.3396380071489674,0.6,8.0,25.0
